Data;Preco
02/05/2025;61,57
01/05/2025;62,37
30/04/2025;63,37
29/04/2025;64,04
28/04/2025;66,13
25/04/2025;66,99
24/04/2025;67,5
23/04/2025;68,26
22/04/2025;68,93
17/04/2025;69,33
16/04/2025;67,94
15/04/2025;66,58
14/04/2025;67,18
11/04/2025;66,83
10/04/2025;65,37
09/04/2025;67,3
08/04/2025;64,86
07/04/2025;66,13
04/04/2025;68,36
03/04/2025;72,54
02/04/2025;77,27
01/04/2025;77,78
31/03/2025;77,23
28/03/2025;74,69
27/03/2025;74,72
26/03/2025;74,6
25/03/2025;73,78
24/03/2025;73,96
21/03/2025;72,64
20/03/2025;72,61
19/03/2025;71,94
18/03/2025;71,93
17/03/2025;71,93
14/03/2025;71,94
13/03/2025;70,82
12/03/2025;72,36
11/03/2025;71,51
10/03/2025;71,08
07/03/2025;72,49
06/03/2025;71,08
05/03/2025;70,92
04/03/2025;72,31
03/03/2025;72,85
28/02/2025;74,76
27/02/2025;75,01
26/02/2025;73,49
25/02/2025;73,11
24/02/2025;74,89
21/02/2025;74,88
20/02/2025;76,95
19/02/2025;76,34
18/02/2025;76,46
17/02/2025;75,81
14/02/2025;75,19
13/02/2025;75,61
12/02/2025;75,38
11/02/2025;77,65
10/02/2025;76,23
07/02/2025;74,68
06/02/2025;74,54
05/02/2025;74,71
04/02/2025;76,58
03/02/2025;76,49
31/01/2025;77,11
30/01/2025;77,42
29/01/2025;77,02
28/01/2025;78,01
27/01/2025;77,3
24/01/2025;78,71
23/01/2025;78,62
22/01/2025;80
21/01/2025;80,57
20/01/2025;81,68
17/01/2025;83,02
16/01/2025;82,39
15/01/2025;83,48
14/01/2025;82,39
13/01/2025;82,69
10/01/2025;79,76
09/01/2025;78,44
08/01/2025;77,37
07/01/2025;77,84
06/01/2025;77,27
03/01/2025;76,72
02/01/2025;76,14
31/12/2024;74,58
30/12/2024;74,24
27/12/2024;73,77
26/12/2024;73,5
24/12/2024;73,5
23/12/2024;72,12
20/12/2024;73,19
19/12/2024;73,75
16/12/2024;74,3
13/12/2024;74,89
12/12/2024;73,52
11/12/2024;74,38
10/12/2024;73,64
09/12/2024;73,73
06/12/2024;73,78
05/12/2024;73,78
04/12/2024;74,68
03/12/2024;74,8
02/12/2024;72,81
29/11/2024;74,16
28/11/2024;73,92
27/11/2024;73,91
26/11/2024;74,56
25/11/2024;74,27
22/11/2024;76,1
21/11/2024;75,09
20/11/2024;74,33
19/11/2024;74,32
18/11/2024;74,35
15/11/2024;73,45
14/11/2024;73,39
13/11/2024;72,86
12/11/2024;72,56
11/11/2024;72,19
08/11/2024;74,04
07/11/2024;75,73
06/11/2024;76,52
05/11/2024;76,98
04/11/2024;74,89
01/11/2024;73,63
31/10/2024;73,25
30/10/2024;73,21
29/10/2024;71,09
28/10/2024;71,87
25/10/2024;75,62
24/10/2024;74,27
23/10/2024;74,68
22/10/2024;75,59
21/10/2024;73,29
18/10/2024;72,75
17/10/2024;74,37
16/10/2024;73,65
15/10/2024;73,68
12/10/2024;78,47
11/10/2024;80,27
10/10/2024;79,45
09/10/2024;77,06
08/10/2024;78,19
07/10/2024;81,74
04/10/2024;79,32
03/10/2024;77,57
